id,title,artist,style,store_url,published_on,youtube,key,org_key,comment,org_url,org_type
002E-00,Forever After All,Luke Combs,Lead Sheet,https://www.musicnotes.com/l/MMhMb,2021-07-28,,C major,C major,,https://youtu.be/TDpOcp98b5k,Official music video
002F-02,Todo de Ti,Rauw Alejandro,Easy Piano,https://www.musicnotes.com/l/rBMMb,2021-07-27,https://youtu.be/tlqjZbQQADw,C major,F-sharp major,,https://youtu.be/CFPLIaMpGrY,Official music video
002F-01,Todo de Ti,Rauw Alejandro,Piano Solo,https://www.musicnotes.com/l/vZhMP,2021-07-27,https://youtu.be/Boo2dD9NDLo,D major,F-sharp major,,https://youtu.be/CFPLIaMpGrY,Official music video
002F-00,Todo de Ti,Rauw Alejandro,Lead Sheet,https://www.musicnotes.com/l/7CMM8,2021-07-23,,F-sharp major,F-sharp major,,https://youtu.be/CFPLIaMpGrY,Official music video
002E-02,Forever After All,Luke Combs,Easy Piano,https://www.musicnotes.com/l/2CMMZ,2021-07-23,https://youtu.be/VLZOAKTEv3M,C major,C major,,https://youtu.be/TDpOcp98b5k,Official music video
002E-01,Forever After All,Luke Combs,Piano Solo,https://www.musicnotes.com/l/ccMMq,2021-07-22,https://youtu.be/PjqO07H_e1s,C major,C major,,https://youtu.be/TDpOcp98b5k,Official music video
002C-00,Your Song,Elton John,Lead Sheet,https://www.musicnotes.com/l/37MMZ,2021-07-21,,E-flat major,E-flat major,,https://youtu.be/FT3D1Cu6g10,Official audio
002D-02,The Scientist,Coldplay,Easy Piano,https://www.musicnotes.com/l/vvMMb,2021-07-20,https://youtu.be/TdfF4eVG-SE,F major,F major,,https://youtu.be/RB-RcX5DS5A,Official music video
002D-00,The Scientist,Coldplay,Lead Sheet,https://www.musicnotes.com/l/B2MMq,2021-07-20,,F major,F major,,https://youtu.be/RB-RcX5DS5A,Official music video
002C-02,Your Song,Elton John,Easy Piano,https://www.musicnotes.com/l/52MMZ,2021-07-20,https://youtu.be/FaJuvbBAkY4,F major,E-flat major,,https://youtu.be/FT3D1Cu6g10,Official audio
